from_stop_id,to_stop_id,transfer_type,min_transfer_time
11827,10436,2,420
35,8035,2,480
9051,1301,,
7732,7654,2,300
155,11632,,
6563,6820,,
1525,10799,,
9282,9414,,
11704,5436,,
5509,11858,2,300
7501,7493,,
3908,12238,2,300
12406,2833,2,300
5547,5432,2,300
5117,5675,,
11949,11957,,
11794,12085,2,300
165,11020,,
6167,6354,2,360
11275,11310,2,360
6113,5410,,
11124,6073,,
8691,8690,,
628,4883,2,600
12670,392,2,300
322,60,,
8673,8674,,
97,4881,2,360
10799,11280,2,300
11708,11678,2,300
3239,3159,,
6700,6739,,
1761,4119,2,120
5737,5641,,
10021,8659,2,420
880,2118,,
3822,3478,,
8048,2539,,
2553,1410,,
6858,6563,,
5585,5621,,
5615,4933,2,360
6175,10437,,
5535,11755,,
12235,3394,2,300
11719,8053,,
5494,5262,2,120
11526,77,,
8051,2477,,
12664,256,,
6479,6006,,
10375,1300,2,480
12231,12320,,
11281,423,2,300
908,1754,,
718,838,2,300
6354,6196,2,300
850,1206,2,360
4939,4845,,
12535,4494,2,420
8034,95,2,540
11806,11802,,
1206,785,2,360
4071,4116,,
10880,5793,,
12026,10467,2,360
8020,12332,2,120
1505,370,,
12227,8657,,
8057,5793,2,300
11197,11199,,
5954,5828,,
1514,1039,,
11645,4463,2,300
10258,10253,,
8067,10202,,
8021,3769,2,120
10881,5262,,
10866,4471,2,120
3624,2189,,
10874,7117,2,300
12234,3533,,
906,1697,,
3478,3822,,
5034,5678,,
4652,4665,,
10591,2737,2,420
11130,5067,,
11251,11287,,
3065,3055,2,360
11276,11260,2,300
11270,11267,2,120
4881,8041,2,420
12229,3155,,
8034,859,2,480
11682,1442,,
7703,7685,2,300
8036,10866,2,120
2671,2414,,
4143,4163,2,120
1016,9129,2,300
4018,10882,2,300
10915,2203,2,120
10948,5148,2,180
7416,8922,2,300
10890,12655,,
12277,3333,2,300
8697,8683,,
984,8040,2,420
3331,12272,,
3394,3904,,
911,11095,,
8577,8561,,
3023,8051,2,300
11352,11088,2,300
256,12664,,
1832,8046,,
12667,709,,
12668,650,2,300
8687,8688,,
11932,6661,2,300
8535,12375,2,300
1016,11774,2,300
11526,97,2,360
